Name,InstrumentId
SENSEX,26065
BASMTR,26066
SNSX50,26067
SNSX60,26130
SS6535,26131
POWENE,26132
200EQW,26133
INTECO,26134
CAPINS,26135
BBGEFS,26136
TELCOM,26068
100,26069
BSE500,26070
BSE100,26071
BSE HC,26072
MID150,26073
BSE IT,26074
LMI250,26075
ESG100,26076
BSELVI,26077
UTILS,26078
MIDSEL,26079
MSL400,26080
CDGS,26081
SMEIPO,26082
BHRT22,26083
INDSTR,26084
POWER,26085
BSEPBI,26086
DOL100,26087
MIDCAP,26088
REALTY,26089
ENERGY,26090
LRGCAP,26091
SML250,26092
BSE200,26093
AUTO,26094
BSEEVI,26095
DOL200,26096
BSE CG,26097
FIN,26098
BSEQUI,26099
METAL,26100
MFG,26101
ALLCAP,26102
SMLSEL,26103
DFRGRI,26104
BSE CD,26105
SMLCAP,26106
OILGAS,26107
BSEIPO,26108
DOL30,26109
BSEMOI,26110
SNXT50,26111
CPSE,26112
LCTMCI,26113
BSEDSI,26114
INFRA,26115
CARBON,26116
TECK,26117
BANKEX,26118
BSEFMC,26119
GREENX,26120
SENEQW,26126
