Name,ExchangeInstrumentId
NIFTY 50,26000
NIFTY BANK,26001
INDIA VIX,26002
NIFTY IT,26003
NIFTY 100,26004
NIFTY MIDCAP 50,26005
NIFTY GS 11 15YR,26006
NIFTY INFRA,26007
NIFTY100 LIQ 15,26008
NIFTY REALTY,26009
NIFTY CPSE,26010
NIFTY GS COMPSITE,26011
NIFTY OIL AND GAS,26012
NIFTY50 TR 1X INV,26013
NIFTY PHARMA,26014
NIFTY PSE,26015
NIFTY MIDCAP 150,26016
NIFTY MIDCAP 100,26017
NIFTY SERV SECTOR,26018
NIFTY 500,26019
NIFTY ALPHA 50,26020
NIFTY50 VALUE 20,26021
NIFTY200 QUALTY30,26022
NIFTY SMLCAP 250,26023
NIFTY GROWSECT 15,26024
NIFTY50 PR 1X INV,26025
NIFTY50 EQL WGT,26026
NIFTY PSU BANK,26027
NIFTY SMLCAP 100,26028
NIFTY LARGEMID250,26029
NIFTY100 EQL WGT,26030
NIFTY SMLCAP 50,26031
NIFTY ENERGY,26032
NIFTY GS 10YR,26033
NIFTY FIN SERVICE,26034
NIFTY MIDSML 400,26035
NIFTY METAL,26036
NIFTY CONSR DURBL,26037
NIFTY DIV OPPS 50,26038
NIFTY GS 15YRPLUS,26039
NIFTY MEDIA,26040
NIFTY FMCG,26041
NIFTY PVT BANK,26042
NIFTY200MOMENTM30,26043
HANGSENG BEES-NAV,26044
NIFTY100 LOWVOL30,26045
NIFTY50 TR 2X LEV,26046
NIFTY CONSUMPTION,26047
NIFTY GS 8 13YR,26048
NIFTY100ESGSECLDR,26049
NIFTY GS 10YR CLN,26050
NIFTY GS 4 8YR,26051
NIFTY AUTO,26052
NIFTY COMMODITIES,26053
NIFTY NEXT 50,26054
NIFTY MNC,26055
NIFTY MID LIQ 15,26056
NIFTY HEALTHCARE,26057
NIFTY500 MULTICAP,26058
NIFTY ALPHALOWVOL,26059
NIFTY FINSRV25 50,26060
NIFTY50 PR 2X LEV,26061
NIFTY100 QUALTY30,26062
NIFTY50 DIV POINT,26063
NIFTY 200,26064
NIFTY MID SELECT,26121
NIFTY MIDSML HLTH,26122
NIFTY MULTI INFRA,26123
NIFTY MULTI MFG,26124
NIFTY TATA 25 CAP,26125
NIFTY IND DEFENCE,26127
NIFTY IND TOURISM,26128
NIFTY CAPITAL MKT,26129
NIFTY500MOMENTM50,26130
NIFTYMS400 MQ 100,26131
NIFTYSML250MQ 100,26132
NIFTY TOP 10 EW,26133
BHARATBOND-APR25,26134
BHARATBOND-APR30,26135
BHARATBOND-APR31,26136
BHARATBOND-APR32,26137
BHARATBOND-APR33,26138
NIFTY AQL 30,26139
NIFTY AQLV 30,26140
NIFTY EV,26141
NIFTY HIGHBETA 50,26142
NIFTY NEW CONSUMP,26143
NIFTY CORP MAATR,26144
NIFTY LOW VOL 50,26145
NIFTY MOBILITY,26146
NIFTY QLTY LV 30,26147
NIFTY SML250 Q50,26148
NIFTY TOP 15 EW,26149
NIFTY100 ALPHA 30,26150
NIFTY100 ENH ESG,26151
NIFTY200 VALUE 30,26152
NIFTY500 EW,26153
NIFTY MULTI MQ 50,26154
NIFTY500 VALUE 50,26155
NIFTY TOP 20 EW,26156
NIFTY COREHOUSING,26157
NIFTY FINSEREXBNK,26158
NIFTY HOUSING,26159
NIFTY IPO,26160
NIFTY MS FIN SERV,26161
NIFTY MS IND CONS,26162
NIFTY MS IT TELCM,26163
NIFTY NONCYC CONS,26164
NIFTY RURAL,26165
NIFTY SHARIAH 25,26166
NIFTY TRANS LOGIS,26167
NIFTY50 SHARIAH,26168
NIFTY500 LMS EQL,26169
NIFTY500 SHARIAH,26170
NIFTY MICROCAP 250,26171
